43	193	256
44	120	262
45	148	268
46	176	274
47	103	280
48	131	286
49	159	292
50	187	298
51	114	203
52	142	209
53	170	215
54	198	221
55	125	227
56	153	233
57	181	239
58	108	245
59	136	251
60	164	257
61	192	263
62	119	269
63	147	275
64	175	281
65	102	287
66	130	293
67	158	299
68	186	204
69	113	210
70	141	216
71	169	222
72	197	228
73	124	234
74	152	240
75	180	246
76	107	252
77	135	258
78	163	264
79	191	270
80	118	276
81	146	282
82	174	288
83	101	294
84	129	300
85	157	205
86	185	211
87	112	217
88	140	223
89	168	229
90	196	235
91	123	241
92	151	247
93	179	253
94	106	259
95	134	265
96	162	271
97	190	277
98	117	283
99	145	289
100	173	295
1	124	250
2	148	300
3	172	249
4	196	299
5	119	248
6	143	298
7	167	247
8	191	297
9	114	246
10	138	296
11	162	245
12	186	295
13	109	244
14	133	294
15	157	243
16	181	293
17	104	242
18	128	292
19	152	241
20	176	291
21	200	240
22	123	290
23	147	239
24	171	289
25	195	238
26	118	288
27	142	237
28	166	287
29	190	236
30	113	286
31	137	235
32	161	285
33	185	234
34	108	284
35	132	233
36	156	283
37	180	232
38	103	282
39	127	231
40	151	281
41	175	230
42	199	280
43	122	229
44	146	279
45	170	228
46	194	278
47	117	227
48	141	277
49	165	226
50	189	276
51	112	225
52	136	275
53	160	224
54	184	274
55	107	223
56	131	273
57	155	222
58	179	272
59	102	221
60	126	271
61	150	220
62	174	270
63	198	219
64	121	269
65	145	218
66	169	268
67	193	217
68	116	267
69	140	216
70	164	266
71	188	215
72	111	265
73	135	214
74	159	264
75	183	213
76	106	263
77	130	212
78	154	262
79	178	211
80	101	261
81	125	210
82	149	260
83	173	209
84	197	259
85	120	208
86	144	258
87	168	207
88	192	257
89	115	206
90	139	256
91	163	205
92	187	255
93	110	204
94	134	254
95	158	203
96	182	253
97	105	202
98	129	252
99	153	201
100	177	251
1	132	211
2	164	222
3	196	233
4	127	244
5	159	255
6	191	266
7	122	277
8	154	288
9	186	299
10	117	209
11	149	220
12	181	231
13	112	242
14	144	253
15	176	264
16	107	275
17	139	286
18	171	297
19	102	207
20	134	218
21	166	229
22	198	240
23	129	251
24	161	262
25	193	273
26	124	284
27	156	295
28	188	205
29	119	216
30	151	227
31	183	238
32	114	249
33	146	260
34	178	271
35	109	282
36	141	293
37	173	203
38	104	214
39	136	225
40	168	236
41	200	247
42	131	258
43	163	269
44	195	280
45	126	291
46	158	201
47	190	212
48	121	223
49	153	234
50	185	245
51	116	256
52	148	267
53	180	278
54	111	289
55	143	300
56	175	210
57	106	221
58	138	232
59	170	243
60	101	254
61	133	265
62	165	276
63	197	287
64	128	298
65	160	208
66	192	219
67	123	230
68	155	241
69	187	252
70	118	263
71	150	274
72	182	285
73	113	296
74	145	206
75	177	217
76	108	228
77	140	239
78	172	250
79	103	261
80	135	272
81	167	283
82	199	294
83	130	204
84	162	215
85	194	226
86	125	237
87	157	248
88	189	259
89	120	270
90	152	281
91	184	292
92	115	202
93	147	213
94	179	224
95	110	235
96	142	246
97	174	257
98	105	268
99	137	279
100	169	290
1	101	201	301	401	501	601	701	801	901	1001	1101
2	102	202	302	402	502	602	702	802	902	1002	1102
3	103	203	303	403	503	603	703	803	903	1003	1103
4	104	204	304	404	504	604	704	804	904	1004	1104
5	105	205	305	405	505	605	705	805	905	1005	1105
6	106	206	306	406	506	606	706	806	906	1006	1106
7	107	207	307	407	507	607	707	807	907	1007	1107
8	108	208	308	408	508	608	708	808	908	1008	1108
9	109	209	309	409	509	609	709	809	909	1009	1109
10	110	210	310	410	510	610	710	810	910	1010	1110
11	111	211	311	411	511	611	711	811	911	1011	1111
12	112	212	312	412	512	612	712	812	912	1012	1112
13	113	213	313	413	513	613	713	813	913	1013	1113
14	114	214	314	414	514	614	714	814	914	1014	1114
15	115	215	315	415	515	615	715	815	915	1015	1115
